Date,Open,High,Low,Close,Adj Close,Volume
2020-09-12,9.767120,9.980617,9.474117,9.979700,9.979700,2754781803
2020-09-13,9.979700,10.304295,9.258699,9.367032,9.367032,2846176328
2020-09-14,9.352142,9.657959,9.123826,9.432317,9.432317,972775951
2020-09-15,9.426890,9.509546,8.401584,8.523164,8.523164,928203189
2020-09-16,8.521040,8.752875,8.199490,8.304108,8.304108,890261707
2020-09-17,8.299536,8.975245,8.131341,8.468646,8.468646,970756213
2020-09-18,8.468646,8.635735,7.665778,7.805248,7.805248,862787481
2020-09-19,7.792897,8.124036,7.707029,7.856063,7.856063,675965070
2020-09-20,7.852950,8.191989,7.435000,7.552869,7.552869,735418629
2020-09-21,7.543225,7.643218,6.743104,6.833437,6.833437,1237476539
2020-09-22,6.824260,7.088551,6.807752,6.877825,6.877825,752850853
2020-09-23,6.882049,6.926722,5.868986,6.045205,6.045205,1079243020
2020-09-24,6.041323,8.101848,5.936148,7.709102,7.709102,1714185477
2020-09-25,7.710259,8.773076,7.422963,8.407574,8.407574,1630704519
2020-09-26,8.412266,8.661143,7.893019,8.109237,8.109237,1207506983
2020-09-27,8.113659,8.559779,7.861049,8.440630,8.440630,1033021068
2020-09-28,8.440630,8.626689,8.006084,8.014455,8.014455,1011186396
2020-09-29,8.009816,8.033714,7.388550,7.859585,7.859585,1228277401
2020-09-30,7.862130,7.906326,7.499052,7.631888,7.631888,954345010
2020-10-01,7.642928,8.052749,7.337879,7.486767,7.486767,1009781798
2020-10-02,7.489301,7.603513,6.867926,7.137811,7.137811,1112825407
2020-10-03,7.137811,7.376370,7.075785,7.195165,7.195165,577152355
2020-10-04,7.195165,7.321378,7.104915,7.289287,7.289287,582880846
2020-10-05,7.289287,7.471163,7.234057,7.424263,7.424263,791866707
2020-10-06,7.415736,7.429342,6.749594,6.815241,6.815241,785611858
2020-10-07,6.815241,6.964828,6.583599,6.954023,6.954023,712124892
2020-10-08,6.962010,7.477354,6.582475,7.378550,7.378550,1014134682
2020-10-09,null,null,null,null,null,null
2020-10-10,7.966445,8.288004,7.965893,8.065907,8.065907,1050527361
2020-10-11,8.060632,8.404754,7.821481,8.324528,8.324528,1028010461
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,8.498549,8.652105,8.179812,8.414554,8.414554,984135602
2020-10-15,8.395382,8.395382,8.117809,8.322295,8.322295,890418141
2020-10-16,8.330299,8.408933,7.980910,8.222654,8.222654,826108579
2020-10-17,8.212388,8.291140,8.101171,8.248185,8.248185,569502078
2020-10-18,8.235280,8.484937,8.184388,8.417591,8.417591,589949097
2020-10-19,8.425312,8.562168,8.232918,8.407923,8.407923,703306883
2020-10-20,8.403200,8.417940,7.609553,7.624782,7.624782,958326460
2020-10-21,7.624066,8.408338,7.620211,8.229351,8.229351,943249453
2020-10-22,8.219985,9.418321,8.178007,9.129329,9.129329,1180584118
2020-10-23,9.142757,9.359888,8.911223,9.325738,9.325738,1135300814
2020-10-24,9.325752,9.906610,9.190559,9.759343,9.759343,1130041617
2020-10-25,9.759343,9.841283,9.209471,9.315943,9.315943,990299475
2020-10-26,9.315947,9.541248,8.713494,9.026207,9.026207,1125609735
2020-10-27,9.026200,9.516139,8.863743,9.188627,9.188627,1032659025
2020-10-28,9.188633,9.300339,8.638389,8.824086,8.824086,951876274
2020-10-29,8.824098,9.051380,8.600372,8.711626,8.711626,1141566728
2020-10-30,8.711639,8.837144,8.326575,8.571637,8.571637,1277149220
2020-10-31,8.571639,8.793671,8.448883,8.668087,8.668087,1118260140
2020-11-01,8.668087,8.945302,8.530549,8.925152,8.925152,1020914391
2020-11-02,8.925117,9.006350,8.363343,8.356030,8.356030,1182353797
2020-11-03,8.356019,8.356019,7.842177,7.917004,7.917004,1293061925
2020-11-04,7.916978,8.172362,7.559219,8.077035,8.077035,1294542856
2020-11-05,8.077072,8.551933,7.728648,8.364570,8.364570,1035639147
2020-11-06,8.364471,9.281952,8.303456,9.211758,9.211758,1121299217
2020-11-07,9.211758,10.166509,8.767915,8.935761,8.935761,1950969351
2020-11-08,8.935761,9.877631,8.761414,9.602475,9.602475,1250063963
2020-11-09,9.602477,9.829514,9.224333,9.509135,9.509135,1248816423
2020-11-10,9.509491,9.992173,9.384250,9.805911,9.805911,1300681979
2020-11-11,9.805903,10.141887,9.675264,9.684612,9.684612,1147721714
2020-11-12,9.684549,9.919759,9.365814,9.468123,9.468123,1067715183
2020-11-13,9.468085,9.844854,9.405389,9.767322,9.767322,989772175
2020-11-14,9.767322,9.785784,9.390094,9.531613,9.531613,755739676
2020-11-15,9.531613,9.574216,8.982393,9.169303,9.169303,732033666
2020-11-16,9.169301,9.700526,9.108970,9.522994,9.522994,795798498
2020-11-17,9.684475,10.046706,9.473778,9.990949,9.990949,1151990328
2020-11-18,9.990896,10.711769,9.739338,10.254421,10.254421,1784107408
2020-11-19,10.254338,10.557237,9.886991,10.282709,10.282709,1150112020
2020-11-20,10.282763,10.840080,10.192391,10.596449,10.596449,1304796784
2020-11-21,10.596449,11.589818,10.363040,11.558120,11.558120,1649001575
2020-11-22,11.558120,11.753632,10.473161,10.857955,10.857955,1653437847
2020-11-23,10.857964,11.536670,10.707867,11.459073,11.459073,1582326626
2020-11-24,11.459156,12.150878,11.268149,11.689600,11.689600,1983378265
2020-11-25,11.692337,11.804009,10.408312,10.656506,10.656506,1329589773
2020-11-26,10.652772,10.789042,8.503582,9.416922,9.416922,2382073828
2020-11-27,9.425500,9.692716,9.018093,9.386579,9.386579,1281755514
2020-11-28,9.387600,10.078831,9.309208,9.828534,9.828534,1058601346
2020-11-29,9.831445,10.069774,9.672783,10.031294,10.031294,933607845
2020-11-30,10.028868,10.785632,10.028868,10.666355,10.666355,1355922840
2020-12-01,10.668923,11.090994,9.939085,9.976543,9.976543,1378440273
2020-12-02,9.977056,10.570739,9.786598,10.462858,10.462858,1024198596
2020-12-03,10.464594,10.518178,10.199735,10.388584,10.388584,831140304
2020-12-04,10.388623,10.416821,9.386063,9.480442,9.480442,953469062
2020-12-05,9.478893,9.915170,9.369936,9.801728,9.801728,780235238
2020-12-06,9.802219,10.074443,9.531248,10.057880,10.057880,760316335
2020-12-07,10.056434,10.082859,9.680670,9.794583,9.794583,669735879
2020-12-08,9.795090,9.870250,9.002458,9.087630,9.087630,791452248
2020-12-09,9.085878,9.544854,8.673143,9.452163,9.452163,976870787
2020-12-10,9.451428,9.454919,8.928170,8.962203,8.962203,685152642
2020-12-11,8.962683,8.969179,8.688951,8.815378,8.815378,777347044
2020-12-12,8.812764,9.321051,8.803061,9.231527,9.231527,646673054
2020-12-13,9.234668,9.986518,9.111961,9.712280,9.712280,779609567
2020-12-14,9.713345,9.724215,9.217116,9.626219,9.626219,694208505
2020-12-15,9.628770,9.737804,9.394708,9.448551,9.448551,602518601
2020-12-16,9.447161,9.970059,9.195186,9.962386,9.962386,905968013
2020-12-17,9.964240,10.619932,9.701627,9.924981,9.924981,1346814258
