Date,Open,High,Low,Close,Adj Close,Volume
2020-11-19,0.080269,0.081434,0.079081,0.079915,0.079915,445880389
2020-11-20,0.079915,0.088990,0.079817,0.088986,0.088986,518261412
2020-11-21,0.088986,0.100561,0.087892,0.100065,0.100065,1042508678
2020-11-22,0.100065,0.114893,0.090465,0.108814,0.108814,1724391822
2020-11-23,0.108814,0.118441,0.107042,0.115192,0.115192,1653562016
2020-11-24,0.115238,0.136559,0.115238,0.124466,0.124466,1920413918
2020-11-25,0.124483,0.131173,0.112012,0.115945,0.115945,1324905619
2020-11-26,0.115904,0.119659,0.092195,0.103550,0.103550,1889457861
2020-11-27,0.103559,0.108278,0.098259,0.105984,0.105984,1131558285
2020-11-28,0.106019,0.128936,0.104881,0.123842,0.123842,1452160952
2020-11-29,0.123941,0.128189,0.118449,0.124999,0.124999,1298703165
2020-11-30,0.124993,0.129611,0.120329,0.128447,0.128447,1613257430
2020-12-01,0.128491,0.130348,0.110001,0.116223,0.116223,1543517116
2020-12-02,0.116203,0.119506,0.112897,0.118604,0.118604,1022991750
2020-12-03,0.118631,0.124587,0.116358,0.122073,0.122073,957424351
2020-12-04,0.122071,0.122172,0.109352,0.110303,0.110303,893352635
2020-12-05,0.110245,0.120081,0.109227,0.118805,0.118805,770936181
2020-12-06,0.118798,0.120842,0.114163,0.118427,0.118427,660569762
2020-12-07,0.118434,0.118570,0.113418,0.115408,0.115408,591096314
2020-12-08,0.115405,0.115988,0.103977,0.105445,0.105445,702699209
2020-12-09,0.105455,0.111814,0.097291,0.110855,0.110855,988172569
2020-12-10,0.110859,0.111016,0.105273,0.106741,0.106741,600289595
2020-12-11,0.106761,0.107893,0.102381,0.105427,0.105427,532890473
2020-12-12,0.105408,0.111345,0.105244,0.109228,0.109228,393013947
2020-12-13,0.109261,0.118150,0.108485,0.115616,0.115616,506895732
2020-12-14,0.115655,0.118570,0.111686,0.118563,0.118563,440562994
2020-12-15,0.118617,0.119827,0.115254,0.114750,0.114750,451538582
2020-12-16,0.114755,0.124130,0.111631,0.124123,0.124123,723380985
2020-12-17,0.124109,0.128186,0.119035,0.120483,0.120483,876065842
2020-12-18,0.120458,0.124926,0.117320,0.122019,0.122019,814272874
2020-12-19,0.122013,0.126076,0.120777,0.121807,0.121807,433858133
2020-12-20,0.121817,0.124033,0.118110,0.120858,0.120858,544044814
2020-12-21,0.120870,0.123770,0.111332,0.113522,0.113522,847680356
2020-12-22,0.113506,0.119972,0.111267,0.116536,0.116536,849439277
2020-12-23,0.116571,0.117649,0.094423,0.100938,0.100938,1098564161
2020-12-24,0.100985,0.113810,0.097653,0.112744,0.112744,1084267153
2020-12-25,0.112746,0.123452,0.110843,0.116030,0.116030,824705231
2020-12-26,0.116024,0.119283,0.110330,0.116221,0.116221,877764575
2020-12-27,0.116229,0.123451,0.112382,0.113797,0.113797,1163129127
2020-12-28,0.113811,0.132825,0.113124,0.131258,0.131258,1286444505
2020-12-29,0.131239,0.145427,0.129071,0.142368,0.142368,2198651360
2020-12-30,0.142263,0.143103,0.129618,0.135038,0.135038,1357013548
2020-12-31,0.135034,0.135835,0.129452,0.132678,0.132678,828166015
